API/UWI,Operator Alias,Well/Lease Name,Well Number,Entity Type,County/Parish,Reservoir,Production Type,Producing Status,Drill Type,First Prod Date,Last Prod Date,Cum Gas,Cum Oil,Cum BOE,Cum Water,Cum MMCFGE,Cum BCFGE,Daily Gas,Daily Oil,First Month Oil,First Month Gas,First Month Water,First 6 Oil,First 6 Gas,First 6 BOE,First 6 Water,First 12 Oil,First 12 Gas,First 12 BOE,First 12 MMCFGE,First 12 Water,First 24 Oil,First 24 Gas,First 24 BOE,First 24 MMCFGE,First 24 Water,First 60 Oil,First 60 Gas,First 60 BOE,First 60 Water,First 60 MMCFGE,Prac IP Oil Daily,Prac IP Gas Daily,Prac IP CFGED,Prac IP BOE,Latest Oil,Latest Gas,Latest Water,Prior 12 Oil,Prior 12 Gas,Prior 12 Water,Last Test Date,Last Flow Pressure,Last WHSIP,2nd Month GOR,Latest GOR,Cum GOR,Last 12 Yield,2nd Month Yield,Latest Yield,Peak Gas,Peak Gas Month No.,Peak Oil,Peak Oil Month No.,Peak BOE,Peak BOE Month No.,Peak MMCFGE,Peak MMCFGE Month No.,Upper Perforation,Lower Perforation,Gas Gravity,Oil Gravity,Completion Date,Well Count,Max Active Wells,Months Produced,Gas Gatherer,Oil Gatherer,Lease Number,Spud Date,Measured Depth (TD),True Vertical Depth,Gross Perforated Interval,Field,State,District,Basin,Country,Section,Township,Range,Abstract,Block,Survey,OCS Area,PGC Area,Surface Latitude (WGS84),Surface Longitude (WGS84),Reported Operator,Last 12 Oil,Last 12 Gas,Last 12 Water,Entity ID
42389363120000,"CENTENNIAL RESOURCE PRODUCTION, LLC",PREWITT,U40H,WELL,REEVES (TX),WOLFCAMP,OIL,ACTIVE,H,3/1/2018,3/1/2018,4177,2150,2846,,17,0,135,69,2150,4177,,,,,,,,,,,,,,,,,,,,,0,0,,0,2150,4177,,,,,,,,,1942.791,1940,514.723,0,514.7,4177,1,2150,1,2846,1,17,1,,,,,,1,1,1,(N/A),(N/A),P830306,11/24/2017,11000,,,PHANTOM,TX,8,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,31.3854055,-103.4935513,"CENTENNIAL RESOURCE PROD, LLC",2150,4177,,-204513
42389362410000,"RESOLUTE NATURAL RES. CO., LLC",RANGER,U06SL,WELL,REEVES (TX),WOLFCAMP,OIL,ACTIVE,H,4/1/2018,4/1/2018,163,53,80,,0,0,5,2,53,163,,,,,,,,,,,,,,,,,,,,,0,0,,0,53,163,,,,,,,,,3075.472,3080,325.153,0,325.2,163,1,53,1,80,1,0,1,,,,,,1,1,1,(N/A),(N/A),P829475,10/14/2017,20830,,,PHANTOM,TX,8,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,31.6645394,-103.701862,"RESOLUTE NATURAL RES. CO., LLC",53,163,,-204480
42389362400000,"RESOLUTE NATURAL RES. CO., LLC",RANGER,C205SL,WELL,REEVES (TX),WOLFCAMP,OIL,ACTIVE,H,4/1/2018,4/1/2018,1300,461,678,,4,0,43,15,461,1300,,,,,,,,,,,,,,,,,,,,,0,0,,0,461,1300,,,,,,,,,2819.957,2820,354.615,0,354.6,1300,1,461,1,678,1,4,1,,,,,,1,1,1,(N/A),(N/A),P829474,11/26/2017,21645,,,PHANTOM,TX,8,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,31.6646794,-103.7020621,"RESOLUTE NATURAL RES. CO., LLC",461,1300,,-204478
42389366190000,"PRI OPERATING, LLC",NYALA UNIT 9D,5H,WELL,REEVES (TX),TREND AREA,OIL,ACTIVE,H,4/1/2018,4/1/2018,0,404,404,,2,0,0,13,404,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,404,0,,,,,,,,,0,0,,0,,0,,404,1,404,1,2,1,,,,,,1,1,1,(N/A),(N/A),P833873,1/15/2018,13000,,,WOLFBONE,TX,8,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,31.235941,-103.2063436,"PRI OPERATING, LLC",404,0,,-204453
42389366730000,"PRI OPERATING, LLC",REEDBUCK STATE UNIT 25,3H,WELL,REEVES (TX),TREND AREA,OIL,ACTIVE,H,4/1/2018,4/1/2018,63,6200,6211,,37,0,2,207,6200,63,,,,,,,,,,,,,,,,,,,,,0,0,,0,6200,63,,,,,,,,,10.161,10,98412.698,0,98412.7,63,1,6200,1,6211,1,37,1,,,,,,1,1,1,(N/A),(N/A),P834553,1/18/2018,13000,,,WOLFBONE,TX,8,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,31.2001519,-103.2570455,"PRI OPERATING, LLC",6200,63,,-204442
42389357940000,CIMAREX ENERGY COMPANY,BIG SKY STATE 55-16 UNIT,2H,WELL,REEVES (TX),WOLFCAMP,OIL,ACTIVE,H,12/1/2017,4/1/2018,479158,139926,219786,,1319,1,3173,927,21483,70308,,,,,,,,,,,,,,,,,,,,,1117,3963,10663355,1777,23805,82960,,,,,,,,3550,3424.367,3420,292.025,281.8,286.9,122844,2,34620,2,55094,2,331,2,,,,,,1,1,5,(N/A),(N/A),P38935794,8/14/2017,20685,,,PHANTOM,TX,8,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,31.5933797,-103.799365,CIMAREX ENERGY CO.,139926,479158,,-204440
42389363560000,EOG RESOURCES INCORPORATED,STATE STREET 20-29 B UNIT,5H,WELL,REEVES (TX),WOLFCAMP,OIL,ACTIVE,H,4/1/2018,4/1/2018,67913,12095,23414,,140,0,2264,403,12095,67913,,,,,,,,,,,,,,,,,,,,,0,0,,0,12095,67913,,,,,,,,,5614.965,5610,178.096,0,178.1,67913,1,12095,1,23414,1,140,1,,,,,,1,1,1,(N/A),(N/A),P830844,3/9/2018,14000,,,PHANTOM,TX,8,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,31.5829192,-103.8748678,"EOG RESOURCES, INC.",12095,67913,,-204411
42389357290000,"OCCIDENTAL ENERGY COMPANY,INC.",COLLIE A EAST,N13H,WELL,REEVES (TX),WOLFCAMP,OIL,ACTIVE,H,3/1/2018,4/1/2018,66636,48153,59259,,356,0,1092,789,12296,18972,,,,,,,,,,,,,,,,,,,,,1195,1589,8760200,1460,35857,47664,,,,,,,,1330,1383.839,1380,722.627,752.3,752.3,47664,2,35857,2,43801,2,263,2,,,,,,1,1,2,(N/A),(N/A),P823409,11/5/2017,21057,,,PHANTOM,TX,8,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,31.3971254,-103.4556502,OXY USA INC.,48153,66636,,-204407
42389363130000,"CENTENNIAL RESOURCE PRODUCTION, LLC",PREWITT,U49H,WELL,REEVES (TX),WOLFCAMP,OIL,ACTIVE,H,3/1/2018,3/1/2018,3186,1362,1893,,11,0,103,44,1362,3186,,,,,,,,,,,,,,,,,,,,,0,0,,0,1362,3186,,,,,,,,,2339.207,2340,427.495,0,427.5,3186,1,1362,1,1893,1,11,1,,,,,,1,1,1,(N/A),(N/A),P830307,1/3/2018,11000,,,PHANTOM,TX,8,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,31.3853955,-103.4934513,"CENTENNIAL RESOURCE PROD, LLC",1362,3186,,-204404
42389364140000,"BTA OIL PRODUCERS, LLC",ARPENT 25 #1H,0,WELL,REEVES (TX),WOLFCAMP,OIL,ACTIVE,H,4/1/2018,4/1/2018,53210,23102,31970,,192,0,1774,770,23102,53210,,,,,,,,,,,,,,,,,,,,,0,0,,0,23102,53210,,,,,,,,,2303.264,2300,434.167,0,434.2,53210,1,23102,1,31970,1,192,1,,,,,,1,1,1,(N/A),(N/A),P831222,12/8/2017,10900,,,PHANTOM,TX,8,PERMIAN BASIN,USA,,0,0,,,,(N/A),P-440,31.6909892,-103.6606608,"BTA OIL PRODUCERS, LLC",23102,53210,,-204391
