Entity ID,API/UWI,API/UWI List,Monthly Production Date,Monthly Oil,Monthly Gas,Monthly Water,Well Count,Days,Daily Avg Oil,Daily Avg Gas,Daily Avg Water,Reservoir,Well/Lease Name,Well Number,Operator Alias,Production Type,Production Status,Entity Type
130109267,42389360520000,,12/1/2017,18731,120566,0,1,,604.23,3889.23,0,WOLFCAMP,WOLFMAN B 21-24,2H,"CENTENNIAL RESOURCE PRODUCTION, LLC",OIL,ACTIVE,COM
130109267,42389360520000,,1/1/2018,31638,264494,0,1,,1020.58,8532.06,0,WOLFCAMP,WOLFMAN B 21-24,2H,"CENTENNIAL RESOURCE PRODUCTION, LLC",OIL,ACTIVE,COM
130109267,42389360520000,,2/1/2018,24741,229116,0,1,,883.61,8182.71,0,WOLFCAMP,WOLFMAN B 21-24,2H,"CENTENNIAL RESOURCE PRODUCTION, LLC",OIL,ACTIVE,COM
130109267,42389360520000,,3/1/2018,20312,198712,0,1,,655.23,6410.06,0,WOLFCAMP,WOLFMAN B 21-24,2H,"CENTENNIAL RESOURCE PRODUCTION, LLC",OIL,ACTIVE,COM
130109266,42389359620000,,11/1/2017,10323,12356,23349,1,,344.1,411.87,778.3,WOLFCAMP,BLACKSTONE WEST,2H,"CENTENNIAL RESOURCE PRODUCTION, LLC",OIL,ACTIVE,COM
130109266,42389359620000,,12/1/2017,13919,21424,36110,1,,449,691.1,1164.84,WOLFCAMP,BLACKSTONE WEST,2H,"CENTENNIAL RESOURCE PRODUCTION, LLC",OIL,ACTIVE,COM
130109266,42389359620000,,1/1/2018,7558,11554,18923,1,,243.81,372.71,610.42,WOLFCAMP,BLACKSTONE WEST,2H,"CENTENNIAL RESOURCE PRODUCTION, LLC",OIL,ACTIVE,COM
130109266,42389359620000,,2/1/2018,8122,13246,20394,1,,290.07,473.07,728.36,WOLFCAMP,BLACKSTONE WEST,2H,"CENTENNIAL RESOURCE PRODUCTION, LLC",OIL,ACTIVE,COM
130109266,42389359620000,,3/1/2018,6763,10844,16916,1,,218.16,349.81,545.68,WOLFCAMP,BLACKSTONE WEST,2H,"CENTENNIAL RESOURCE PRODUCTION, LLC",OIL,ACTIVE,COM
130109264,42389357190000,,12/1/2017,33478,99648,89209,1,,1079.94,3214.45,2877.71,WOLFCAMP,BRASS MONKEY STATE UNIT,852H,CONCHO RESOURCES INC.,OIL,ACTIVE,COM
130109264,42389357190000,,1/1/2018,40247,118928,116819,1,,1298.29,3836.39,3768.35,WOLFCAMP,BRASS MONKEY STATE UNIT,852H,CONCHO RESOURCES INC.,OIL,ACTIVE,COM
130109264,42389357190000,,2/1/2018,26280,85180,76279,1,,938.57,3042.14,2724.25,WOLFCAMP,BRASS MONKEY STATE UNIT,852H,CONCHO RESOURCES INC.,OIL,ACTIVE,COM
130109264,42389357190000,,3/1/2018,21386,71921,62076,1,,689.87,2320.03,2002.45,WOLFCAMP,BRASS MONKEY STATE UNIT,852H,CONCHO RESOURCES INC.,OIL,ACTIVE,COM
130109264,42389357190000,,4/1/2018,16837,61841,48870,1,,561.23,2061.37,1629,WOLFCAMP,BRASS MONKEY STATE UNIT,852H,CONCHO RESOURCES INC.,OIL,ACTIVE,COM
130109263,42389357140000,,1/1/2018,46708,126433,119500,1,,1506.71,4078.48,3854.84,WOLFCAMP,BRASS MONKEY STATE UNIT,804H,CONCHO RESOURCES INC.,OIL,ACTIVE,COM
130109263,42389357140000,,2/1/2018,30499,90556,78030,1,,1089.25,3234.14,2786.79,WOLFCAMP,BRASS MONKEY STATE UNIT,804H,CONCHO RESOURCES INC.,OIL,ACTIVE,COM
130109263,42389357140000,,3/1/2018,24820,76459,63501,1,,800.65,2466.42,2048.42,WOLFCAMP,BRASS MONKEY STATE UNIT,804H,CONCHO RESOURCES INC.,OIL,ACTIVE,COM
130109263,42389357140000,,4/1/2018,19540,65744,49992,1,,651.33,2191.47,1666.4,WOLFCAMP,BRASS MONKEY STATE UNIT,804H,CONCHO RESOURCES INC.,OIL,ACTIVE,COM
130109226,42389361690000,,3/1/2018,15776,49934,111733,1,,508.9,1610.77,3604.29,WOLFCAMP,RICHMOND 39,3H,DEVON ENERGY CORPORATION,OIL,ACTIVE,COM
130109226,42389361690000,,4/1/2018,25245,102266,178797,1,,841.5,3408.87,5959.9,WOLFCAMP,RICHMOND 39,3H,DEVON ENERGY CORPORATION,OIL,ACTIVE,COM
130109224,42389360510000,,12/1/2017,14947,80286,73997,1,,482.16,2589.87,2387,WOLFCAMP,WOLFMAN A 4 21-24,1H,"CENTENNIAL RESOURCE PRODUCTION, LLC",OIL,ACTIVE,COM
130109224,42389360510000,,1/1/2018,21826,148225,108052,1,,704.06,4781.45,3485.55,WOLFCAMP,WOLFMAN A 4 21-24,1H,"CENTENNIAL RESOURCE PRODUCTION, LLC",OIL,ACTIVE,COM
130109224,42389360510000,,2/1/2018,12080,92362,59803,1,,431.43,3298.64,2135.82,WOLFCAMP,WOLFMAN A 4 21-24,1H,"CENTENNIAL RESOURCE PRODUCTION, LLC",OIL,ACTIVE,COM
130109224,42389360510000,,3/1/2018,10431,81077,51640,1,,336.48,2615.39,1665.81,WOLFCAMP,WOLFMAN A 4 21-24,1H,"CENTENNIAL RESOURCE PRODUCTION, LLC",OIL,ACTIVE,COM
130109223,42389360100000,,3/1/2018,22026,67252,73932,1,,710.52,2169.42,2384.9,WOLFCAMP,RICHMOND 39,2H,DEVON ENERGY CORPORATION,OIL,ACTIVE,COM
130109223,42389360100000,,4/1/2018,35246,137732,118308,1,,1174.87,4591.07,3943.6,WOLFCAMP,RICHMOND 39,2H,DEVON ENERGY CORPORATION,OIL,ACTIVE,COM
130109222,42389359830000,,8/1/2017,156,0,0,1,,5.03,0,0,WOLFCAMP,FOUNDERS O'BRIEN STATE,3H,"DOUBLE EAGLE OPERATING, LLC",OIL,ACTIVE,COM
130109222,42389359830000,,9/1/2017,5061,0,0,1,,168.7,0,0,WOLFCAMP,FOUNDERS O'BRIEN STATE,3H,"DOUBLE EAGLE OPERATING, LLC",OIL,ACTIVE,COM
130109222,42389359830000,,10/1/2017,4830,7280,0,1,,155.81,234.84,0,WOLFCAMP,FOUNDERS O'BRIEN STATE,3H,"DOUBLE EAGLE OPERATING, LLC",OIL,ACTIVE,COM
130109222,42389359830000,,11/1/2017,11953,110707,0,1,,398.43,3690.23,0,WOLFCAMP,FOUNDERS O'BRIEN STATE,3H,"DOUBLE EAGLE OPERATING, LLC",OIL,ACTIVE,COM
130109222,42389359830000,,12/1/2017,7614,89185,0,1,,245.61,2876.94,0,WOLFCAMP,FOUNDERS O'BRIEN STATE,3H,"DOUBLE EAGLE OPERATING, LLC",OIL,ACTIVE,COM
